Elspot Prices in DKK/MWh;;;;;;;;;;;;;;;;;;
Preliminary prices in purple;;;;;;;;;;;;;;;;;;
Data was last updated 12-11-2015;;;;;;;;;;;;;;;;;;
;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;ELE;LV;LT
01/01/2013;236,72;227,10;227,10;227,10;227,10;227,10;195,62;195,78;245,26;245,26;245,26;244,05;244,05;244,05;235,26;235,26;;195,94
02/01/2013;273,58;274,91;274,91;274,91;274,91;276,66;247,39;247,39;275,93;271,11;275,93;274,91;274,91;274,91;298,37;298,37;;254,56
03/01/2013;261,83;260,99;260,99;260,99;260,99;261,28;230,70;233,31;264,88;264,22;264,88;261,08;261,08;261,08;305,09;305,09;;341,37
04/01/2013;259,63;255,85;255,85;255,85;255,85;257,59;225,26;225,26;264,04;263,93;264,04;257,08;257,08;257,08;306,41;306,41;;305,09
05/01/2013;263,83;264,42;264,42;264,42;267,56;264,42;263,72;264,69;264,52;263,12;263,12;264,42;264,42;264,42;280,44;280,44;;291,79
06/01/2013;259,75;259,86;259,86;259,86;260,57;259,86;258,65;260,83;259,86;259,29;259,29;259,86;259,86;259,86;277,25;277,25;;270,64
07/01/2013;287,31;288,78;288,78;288,78;318,28;293,45;366,18;367,43;286,24;273,35;278,08;288,78;288,78;288,78;298,04;298,04;;325,68
08/01/2013;302,13;298,97;298,97;298,97;334,27;298,97;346,00;346,00;298,97;281,30;298,97;298,97;298,97;298,97;277,19;277,19;;324,03
09/01/2013;292,82;296,60;296,60;296,60;296,60;296,60;296,60;296,60;296,64;283,64;296,64;296,60;296,60;296,60;297,81;297,81;;287,77
10/01/2013;302,77;306,56;306,56;306,56;306,56;306,56;306,30;307,50;309,14;287,65;309,14;306,56;306,56;306,56;302,52;302,52;;281,31
11/01/2013;311,97;316,97;316,97;320,90;320,90;327,74;320,90;320,90;322,02;289,95;322,02;316,97;316,97;316,97;323,02;323,02;;283,51
12/01/2013;301,36;304,17;304,17;304,37;307,34;305,08;310,38;310,38;304,49;290,61;304,49;304,17;304,17;295,38;305,08;305,08;;294,59
13/01/2013;293,68;294,34;294,34;294,90;294,90;294,77;294,90;294,90;295,44;290,29;295,44;294,34;294,34;291,27;298,71;298,71;;339,26
14/01/2013;345,44;347,54;347,54;382,06;382,06;347,30;382,86;382,90;385,42;295,14;385,42;347,54;347,54;347,54;340,16;340,16;;353,49
15/01/2013;356,98;376,37;376,37;376,37;376,37;376,37;376,37;376,37;377,24;299,10;377,24;376,37;376,37;376,37;369,71;369,71;;345,62
16/01/2013;381,39;382,96;382,96;386,77;387,28;382,96;387,28;387,28;387,41;363,58;387,41;382,96;382,96;379,72;371,85;371,85;;376,59
17/01/2013;398,73;399,69;399,69;399,69;399,69;399,69;399,69;399,69;399,69;391,51;399,69;399,69;399,69;399,69;366,99;367,04;;364,04
18/01/2013;356,54;357,54;357,54;357,54;357,54;358,40;357,54;357,54;357,65;345,25;357,65;357,54;357,54;353,73;344,30;344,30;;384,84
19/01/2013;299,69;298,61;298,61;298,61;298,61;299,72;288,04;288,04;302,45;301,62;302,45;298,61;298,61;295,29;299,72;299,72;;370,87
20/01/2013;286,67;286,07;286,07;286,07;286,07;286,12;272,23;273,19;289,69;288,64;289,69;286,07;286,07;286,07;296,76;296,76;;325,23
21/01/2013;307,66;309,39;309,39;309,39;309,39;309,39;277,86;289,72;312,54;299,98;312,54;309,39;309,39;308,42;306,50;318,09;;351,01
22/01/2013;350,35;347,18;347,18;363,64;363,64;346,42;356,32;357,00;365,19;362,83;365,19;347,18;347,18;347,18;338,67;345,01;;333,54
23/01/2013;404,79;401,03;401,03;428,37;428,37;400,29;428,37;428,37;427,49;394,54;427,49;401,03;401,03;400,23;397,13;420,60;;461,12
24/01/2013;417,18;411,66;411,66;436,26;436,26;409,18;436,26;436,26;434,26;431,69;434,26;411,66;411,66;409,65;402,66;405,11;;430,30
25/01/2013;379,56;380,09;380,09;380,09;380,09;380,09;379,81;379,81;378,85;373,77;378,85;380,09;380,09;378,56;375,62;405,49;;402,88
26/01/2013;279,84;280,07;280,07;280,07;280,07;280,07;269,11;269,43;280,39;280,39;280,39;280,07;280,07;280,07;278,31;355,08;;308,63
27/01/2013;268,82;269,04;269,04;269,04;269,04;269,04;232,22;236,44;271,61;271,61;271,61;269,04;269,04;269,04;272,10;276,89;;289,70
28/01/2013;281,67;280,40;280,40;280,40;280,40;292,42;268,73;268,73;282,91;282,91;282,91;280,40;280,40;280,40;284,70;294,58;;296,10
29/01/2013;276,29;275,01;275,01;275,01;275,01;279,94;234,36;235,50;278,91;278,91;278,91;276,23;276,23;276,23;279,11;311,88;;332,43
30/01/2013;265,37;263,55;263,55;263,55;263,55;266,83;212,13;212,40;268,47;268,47;268,47;265,01;265,01;265,01;266,11;318,18;;325,65
31/01/2013;268,20;263,67;263,67;263,67;263,67;264,97;207,39;208,01;270,49;270,49;270,49;266,62;266,62;266,62;264,80;307,68;;298,70
01/02/2013;287,62;287,10;287,10;287,10;287,10;287,10;276,09;276,09;289,14;289,14;289,14;287,10;287,10;287,10;278,04;301,46;;332,62
02/02/2013;272,33;271,06;271,06;271,06;271,06;271,06;270,08;270,67;274,35;274,35;274,35;271,06;271,06;271,06;270,82;303,33;;396,26
03/02/2013;268,07;267,18;267,18;267,18;267,18;267,18;245,23;255,74;270,74;270,74;270,74;267,18;267,18;267,18;283,47;298,68;;331,05
04/02/2013;274,48;273,20;273,20;273,20;273,20;273,20;232,21;243,89;277,39;277,34;277,39;274,56;274,56;274,56;272,03;315,07;;377,48
05/02/2013;276,48;272,84;272,84;272,84;272,84;272,84;229,79;234,09;280,31;280,21;280,31;276,41;276,41;276,41;272,72;326,35;;291,54
06/02/2013;293,91;292,73;292,73;292,73;293,39;292,73;292,04;292,69;296,30;296,30;296,30;292,73;292,73;292,73;291,66;331,33;;328,77
07/02/2013;306,31;304,84;304,84;304,84;305,19;304,84;305,20;305,19;307,01;307,01;307,01;305,00;305,00;305,00;300,46;321,99;;339,04
08/02/2013;296,90;296,41;296,41;296,41;296,41;296,41;296,41;296,41;297,54;297,54;297,54;296,41;296,41;296,41;286,63;304,05;;331,21
09/02/2013;288,70;286,40;286,40;286,40;287,18;286,40;287,18;287,18;290,83;290,83;290,83;286,40;286,40;286,40;286,40;286,51;;322,44
10/02/2013;281,97;280,20;280,20;280,20;280,20;280,20;280,20;280,20;283,34;283,34;283,34;280,20;280,20;280,20;280,25;281,40;;299,55
11/02/2013;313,24;313,01;313,01;313,01;313,01;313,01;312,08;312,08;313,61;313,61;313,61;313,01;313,01;313,01;301,04;310,82;;330,73
12/02/2013;321,54;321,50;321,50;321,50;321,50;321,50;320,82;321,50;321,76;321,76;321,76;321,50;321,50;321,50;321,50;334,67;;328,20
13/02/2013;337,04;332,30;332,30;332,30;332,30;332,30;371,18;371,18;333,09;333,09;333,09;332,30;332,30;332,30;332,23;343,50;;336,24
14/02/2013;298,16;297,92;297,92;297,92;297,92;297,92;297,92;297,92;298,63;298,63;298,63;297,92;297,92;297,92;323,00;327,81;;338,03
15/02/2013;300,13;299,41;299,41;299,41;300,54;299,41;299,43;299,43;300,94;300,94;300,94;299,41;299,41;299,41;300,39;304,76;;324,94
16/02/2013;287,28;285,91;285,91;285,91;285,91;285,91;288,14;288,14;288,59;288,59;288,59;285,91;285,91;285,91;306,10;306,10;;328,02
17/02/2013;281,33;280,76;280,76;280,76;280,76;280,76;283,52;283,84;282,48;282,48;282,48;280,76;280,76;280,76;291,20;291,20;;328,00
18/02/2013;294,49;294,14;294,14;294,14;294,14;294,14;294,45;294,45;295,22;295,22;295,22;294,14;294,14;294,14;295,71;326,96;;312,32
19/02/2013;289,70;287,65;287,65;287,65;287,65;287,65;285,49;285,49;292,33;292,28;292,33;287,65;287,65;287,65;287,37;309,51;;324,81
20/02/2013;296,15;294,16;294,16;294,16;294,16;294,16;293,41;293,41;298,29;297,09;298,29;294,16;294,16;294,16;294,12;294,84;;263,72
21/02/2013;325,83;317,42;317,42;317,42;324,89;317,42;381,49;381,49;318,66;305,42;318,66;317,42;317,42;317,34;317,59;317,59;;292,30
22/02/2013;319,99;317,06;317,06;317,06;317,06;317,06;357,95;357,95;317,23;314,64;317,23;317,06;317,06;317,06;318,84;318,84;;322,31
23/02/2013;287,25;284,64;284,64;284,64;284,64;284,64;276,19;276,19;292,53;292,53;292,53;284,64;284,64;284,64;297,84;297,84;;284,76
24/02/2013;281,41;278,81;278,81;278,81;278,81;278,81;250,04;250,04;287,88;287,88;287,88;281,08;281,08;280,36;306,73;306,73;;231,18
25/02/2013;297,97;296,34;296,34;296,34;296,34;296,34;290,32;300,05;301,45;301,45;301,45;296,34;296,34;296,34;296,30;296,30;;304,07
